C1, 0603,  5.97, 16.25, T,   0, 10uF
C2, 0603, 321.00, 33.00, T, 270, 0.1uF
C3, 0603, 315.50, 32.00, T, 180, 0.1uF
C4, 0603, 17.58, 21.37, T, 270, 4.7uF
C5, 0603, 24.70, 20.64, T, 180, 100pF
C6, 0603, 21.39, 17.33, T,  90, 1.0uF
C7, 0603,  5.97, 18.05, T,   0, 1.0uF
C8, 0603,  8.50, 17.00, T, 270, 1.0uF
C9, 0603, 30.15, 17.33, T, 270, 0.1uF
D1, WS2812B,  7.50, 37.50, T,   0, WS2812B
D2, WS2812B, 22.50, 187.50, T,   0, WS2812B
D3, WS2812B, 37.50, 187.50, T,   0, WS2812B
D4, WS2812B, 52.50, 187.50, T,   0, WS2812B
D5, WS2812B, 67.50, 187.50, T,   0, WS2812B
D6, WS2812B, 82.50, 187.50, T,   0, WS2812B
D7, WS2812B, 97.50, 187.50, T,   0, WS2812B
D8, WS2812B, 112.50, 187.50, T,   0, WS2812B
D9, WS2812B, 127.50, 187.50, T,   0, WS2812B
D10, WS2812B, 142.50, 187.50, T,   0, WS2812B
D11, WS2812B, 67.50,  7.50, T,   0, WS2812B
D13, WS2812B, 187.50, 187.50, T,   0, WS2812B
D14, WS2812B, 202.50, 187.50, T,   0, WS2812B
D15, WS2812B, 217.50, 187.50, T,   0, WS2812B
D16, WS2812B, 232.50, 187.50, T,   0, WS2812B
D17, WS2812B, 247.50, 187.50, T,   0, WS2812B
D18, WS2812B, 262.50, 187.50, T,   0, WS2812B
D19, WS2812B, 277.50, 187.50, T,   0, WS2812B
D20, WS2812B, 292.50, 187.50, T,   0, WS2812B
D22, WS2812B,  7.50, 172.50, T,   0, WS2812B
D23, WS2812B, 22.50, 172.50, T,   0, WS2812B
D24, WS2812B, 37.50, 172.50, T,   0, WS2812B
D25, WS2812B, 52.50, 172.50, T,   0, WS2812B
D26, WS2812B, 67.50, 172.50, T,   0, WS2812B
D27, WS2812B, 82.50, 172.50, T,   0, WS2812B
D28, WS2812B, 97.50, 172.50, T,   0, WS2812B
D29, WS2812B, 112.50, 172.50, T,   0, WS2812B
D30, WS2812B, 127.50, 172.50, T,   0, WS2812B
D31, WS2812B, 142.50, 172.50, T,   0, WS2812B
D32, WS2812B, 157.50, 172.50, T,   0, WS2812B
D33, WS2812B, 172.50, 172.50, T,   0, WS2812B
D34, WS2812B, 187.50, 172.50, T,   0, WS2812B
D35, WS2812B, 202.50, 172.50, T,   0, WS2812B
D36, WS2812B, 217.50, 172.50, T,   0, WS2812B
D37, WS2812B, 232.50, 172.50, T,   0, WS2812B
D38, WS2812B, 247.50, 172.50, T,   0, WS2812B
D39, WS2812B, 262.50, 172.50, T,   0, WS2812B
D40, WS2812B, 277.50, 172.50, T,   0, WS2812B
D41, WS2812B, 292.50, 172.50, T,   0, WS2812B
D42, WS2812B, 307.50, 172.50, T,   0, WS2812B
D43, WS2812B,  7.50, 157.50, T,   0, WS2812B
D44, WS2812B, 22.50, 157.50, T,   0, WS2812B
D45, WS2812B, 37.50, 157.50, T,   0, WS2812B
D46, WS2812B, 52.50, 157.50, T,   0, WS2812B
D47, WS2812B, 67.50, 157.50, T,   0, WS2812B
D48, WS2812B, 82.50, 157.50, T,   0, WS2812B
D49, WS2812B, 97.50, 157.50, T,   0, WS2812B
D50, WS2812B, 112.50, 157.50, T,   0, WS2812B
D51, WS2812B, 127.50, 157.50, T,   0, WS2812B
D52, WS2812B, 142.50, 157.50, T,   0, WS2812B
D53, WS2812B, 157.50, 157.50, T,   0, WS2812B
D54, WS2812B, 172.50, 157.50, T,   0, WS2812B
D55, WS2812B, 187.50, 157.50, T,   0, WS2812B
D56, WS2812B, 202.50, 157.50, T,   0, WS2812B
D57, WS2812B, 217.50, 157.50, T,   0, WS2812B
