C1, 0603, 10.03, 14.75, T, 180, 10uF
C2, 0603, 299.00, 39.50, T, 180, 0.1uF
C3, 0603, 294.00, 39.50, T,   0, 0.1uF
C4, 0603, 24.73, 21.42, T, 270, 4.7uF
C5, 0603, 27.70, 19.14, T, 180, 100pF
C6, 0603, 21.39, 17.33, T,  90, 1.0uF
C7, 0603, 10.03, 12.95, T, 180, 1.0uF
C8, 0603, 13.00, 18.00, T, 270, 1.0uF
C9, 0603, 30.15, 17.33, T, 270, 0.1uF
D1, WS2812B, 12.81, 37.50, T,   0, WS2812B
D2, WS2812B, 237.81, 67.50, T,   0, WS2812B
D3, WS2812B, 252.81, 67.50, T,   0, WS2812B
D23, WS2812B, 27.80, 172.50, T,   0, WS2812B
D24, WS2812B, 42.80, 172.50, T,   0, WS2812B
D25, WS2812B, 57.80, 172.50, T,   0, WS2812B
D26, WS2812B, 72.81, 172.50, T,   0, WS2812B
D27, WS2812B, 87.81, 172.50, T,   0, WS2812B
D28, WS2812B, 102.81, 172.50, T,   0, WS2812B
D29, WS2812B, 117.81, 172.50, T,   0, WS2812B
D30, WS2812B, 177.81, 172.50, T,   0, WS2812B
D34, WS2812B, 192.81, 172.50, T,   0, WS2812B
D35, WS2812B, 207.81, 172.50, T,   0, WS2812B
D36, WS2812B, 222.81, 172.50, T,   0, WS2812B
D37, WS2812B, 237.81, 172.50, T,   0, WS2812B
D38, WS2812B, 252.81, 172.50, T,   0, WS2812B
D39, WS2812B, 267.81, 172.50, T,   0, WS2812B
D43, WS2812B, 12.81, 157.50, T,   0, WS2812B
D44, WS2812B, 27.80, 157.50, T,   0, WS2812B
D45, WS2812B, 42.80, 157.50, T,   0, WS2812B
D46, WS2812B, 57.80, 157.50, T,   0, WS2812B
D47, WS2812B, 72.81, 157.50, T,   0, WS2812B
D48, WS2812B, 87.81, 157.50, T,   0, WS2812B
D49, WS2812B, 102.81, 157.50, T,   0, WS2812B
D50, WS2812B, 117.81, 157.50, T,   0, WS2812B
D51, WS2812B, 132.81, 157.50, T,   0, WS2812B
D52, WS2812B, 147.81, 157.50, T,   0, WS2812B
D53, WS2812B, 162.81, 157.50, T,   0, WS2812B
D54, WS2812B, 177.81, 157.50, T,   0, WS2812B
D55, WS2812B, 192.81, 157.50, T,   0, WS2812B
D56, WS2812B, 207.81, 157.50, T,   0, WS2812B
D57, WS2812B, 222.81, 157.50, T,   0, WS2812B
D58, WS2812B, 237.81, 157.50, T,   0, WS2812B
D59, WS2812B, 252.81, 157.50, T,   0, WS2812B
D60, WS2812B, 267.81, 157.50, T,   0, WS2812B
D61, WS2812B, 282.81, 157.50, T,   0, WS2812B
D64, WS2812B, 12.81, 142.50, T,   0, WS2812B
D65, WS2812B, 27.80, 142.50, T,   0, WS2812B
D66, WS2812B, 42.80, 142.50, T,   0, WS2812B
D67, WS2812B, 57.80, 142.50, T,   0, WS2812B
D68, WS2812B, 72.81, 142.50, T,   0, WS2812B
D69, WS2812B, 87.81, 142.50, T,   0, WS2812B
D70, WS2812B, 102.81, 142.50, T,   0, WS2812B
D71, WS2812B, 117.81, 142.50, T,   0, WS2812B
D72, WS2812B, 132.81, 142.50, T,   0, WS2812B
D73, WS2812B, 147.81, 142.50, T,   0, WS2812B
D74, WS2812B, 162.81, 142.50, T,   0, WS2812B
D75, WS2812B, 177.81, 142.50, T,   0, WS2812B
D76, WS2812B, 192.81, 142.50, T,   0, WS2812B
D77, WS2812B, 207.81, 142.50, T,   0, WS2812B
D78, WS2812B, 222.81, 142.50, T,   0, WS2812B
D79, WS2812B, 237.81, 142.50, T,   0, WS2812B
D80, WS2812B, 252.81, 142.50, T,   0, WS2812B
D81, WS2812B, 267.81, 142.50, T,   0, WS2812B
D82, WS2812B, 282.81, 142.50, T,   0, WS2812B
D85, WS2812B, 12.81, 127.50, T,   0, WS2812B
D86, WS2812B, 27.80, 127.50, T,   0, WS2812B
D87, WS2812B, 42.80, 127.50, T,   0, WS2812B
D88, WS2812B, 57.80, 127.50, T,   0, WS2812B
D89, WS2812B, 72.81, 127.50, T,   0, WS2812B
D90, WS2812B, 87.81, 127.50, T,   0, WS2812B
D91, WS2812B, 102.81, 127.50, T,   0, WS2812B
D92, WS2812B, 117.81, 127.50, T,   0, WS2812B
D93, WS2812B, 132.81, 127.50, T,   0, WS2812B
D94, WS2812B, 147.81, 127.50, T,   0, WS2812B
D95, WS2812B, 162.81, 127.50, T,   0, WS2812B
D96, WS2812B, 177.81, 127.50, T,   0, WS2812B
D97, WS2812B, 192.81, 127.50, T,   0, WS2812B
D98, WS2812B, 207.81, 127.50, T,   0, WS2812B
D99, WS2812B, 222.81, 127.50, T,   0, WS2812B
D100, WS2812B, 237.81, 127.50, T,   0, WS2812B
D101, WS2812B, 252.81, 127.50, T,   0, WS2812B
D102, WS2812B, 267.81, 127.50, T,   0, WS2812B
D103, WS2812B, 282.81, 127.50, T,   0, WS2812B
D106, WS2812B, 12.81, 112.50, T,   0, WS2812B
D107, WS2812B, 27.80, 112.50, T,   0, WS2812B
D108, WS2812B, 42.80, 112.50, T,   0, WS2812B
D109, WS2812B, 57.80, 112.50, T,   0, WS2812B
D110, WS2812B, 72.81, 112.50, T,   0, WS2812B
D111, WS2812B, 87.81, 112.50, T,   0, WS2812B
D112, WS2812B, 102.81, 112.50, T,   0, WS2812B
D113, WS2812B, 117.81, 112.50, T,   0, WS2812B
D114, WS2812B, 132.81, 112.50, T,   0, WS2812B
D115, WS2812B, 147.81, 112.50, T,   0, WS2812B
D116, WS2812B, 162.81, 112.50, T,   0, WS2812B
D117, WS2812B, 177.81, 112.50, T,   0, WS2812B
D118, WS2812B, 192.81, 112.50, T,   0, WS2812B
D119, WS2812B, 207.81, 112.50, T,   0, WS2812B
D120, WS2812B, 222.81, 112.50, T,   0, WS2812B
D121, WS2812B, 237.81, 112.50, T,   0, WS2812B
D122, WS2812B, 252.81, 112.50, T,   0, WS2812B
D123, WS2812B, 267.81, 112.50, T,   0, WS2812B
D124, WS2812B, 282.81, 112.50, T,   0, WS2812B
D127, WS2812B, 12.81, 97.50, T,   0, WS2812B
D128, WS2812B, 27.80, 97.50, T,   0, WS2812B
D129, WS2812B, 42.80, 97.50, T,   0, WS2812B
D130, WS2812B, 57.80, 97.50, T,   0, WS2812B
D131, WS2812B, 72.81, 97.50, T,   0, WS2812B
D132, WS2812B, 87.81, 97.50, T,   0, WS2812B
D133, WS2812B, 102.81, 97.50, T,   0, WS2812B
D134, WS2812B, 117.81, 97.50, T,   0, WS2812B
D135, WS2812B, 132.81, 97.50, T,   0, WS2812B
D136, WS2812B, 147.81, 97.50, T,   0, WS2812B
D137, WS2812B, 162.81, 97.50, T,   0, WS2812B
D138, WS2812B, 177.81, 97.50, T,   0, WS2812B
D139, WS2812B, 192.81, 97.50, T,   0, WS2812B
D140, WS2812B, 207.81, 97.50, T,   0, WS2812B
