C1, 0603, 11.75, 22.80, T, 270, 10uF
C2, 0603, 350.24, 50.28, T, 180, 0.1uF
C3, 0603, 350.24, 44.56, T,   0, 0.1uF
C4, 0603, 27.50, 19.00, T, 180, 4.7uF
C5, 0603, 24.00, 19.00, T,   0, 100pF
C6, 0603, 27.61, 21.67, T, 270, 1.0uF
C7, 0603, 10.00, 22.80, T, 270, 1.0uF
C8, 0603,  8.25, 22.80, T,  90, 1.0uF
C9, 0603, 20.86, 21.67, T,  90, 0.1uF
D1, WS2812B, 313.25, 208.25, T,   0, WS2812B
D2, WS2812B, 28.25, 208.25, T,   0, WS2812B
D3, WS2812B, 43.25, 208.25, T,   0, WS2812B
D4, WS2812B, 58.25, 208.25, T,   0, WS2812B
D5, WS2812B, 73.25, 208.25, T,   0, WS2812B
D6, WS2812B, 88.25, 208.25, T,   0, WS2812B
D7, WS2812B, 103.25, 208.25, T,   0, WS2812B
D8, WS2812B, 118.25, 208.25, T,   0, WS2812B
D9, WS2812B, 133.25, 208.25, T,   0, WS2812B
D10, WS2812B, 148.25, 208.25, T,   0, WS2812B
D14, WS2812B, 208.25, 208.25, T,   0, WS2812B
D15, WS2812B, 223.25, 208.25, T,   0, WS2812B
D16, WS2812B, 238.25, 208.25, T,   0, WS2812B
D17, WS2812B, 253.25, 208.25, T,   0, WS2812B
D18, WS2812B, 268.25, 208.25, T,   0, WS2812B
D19, WS2812B, 283.25, 208.25, T,   0, WS2812B
D20, WS2812B, 298.25, 208.25, T,   0, WS2812B
D21, WS2812B, 13.25, 58.25, T,   0, WS2812B
D22, WS2812B, 13.25, 193.25, T,   0, WS2812B
D23, WS2812B, 28.25, 193.25, T,   0, WS2812B
D24, WS2812B, 43.25, 193.25, T,   0, WS2812B
D25, WS2812B, 58.25, 193.25, T,   0, WS2812B
D26, WS2812B, 73.25, 193.25, T,   0, WS2812B
D27, WS2812B, 88.25, 193.25, T,   0, WS2812B
D28, WS2812B, 103.25, 193.25, T,   0, WS2812B
D29, WS2812B, 118.25, 193.25, T,   0, WS2812B
D30, WS2812B, 133.25, 193.25, T,   0, WS2812B
D31, WS2812B, 148.25, 193.25, T,   0, WS2812B
D32, WS2812B, 163.25, 193.25, T,   0, WS2812B
D33, WS2812B, 178.25, 193.25, T,   0, WS2812B
D34, WS2812B, 193.25, 193.25, T,   0, WS2812B
D35, WS2812B, 208.25, 193.25, T,   0, WS2812B
D36, WS2812B, 223.25, 193.25, T,   0, WS2812B
D37, WS2812B, 238.25, 193.25, T,   0, WS2812B
